1.000 elementos
 - Desordenado
 - Ordenado
 - Ordenado decrescente
 - Repetidos
10.000 elementos
 - Desordenado
 - Ordenado
 - Ordenado decrescente
 - Repetidos
100.000 elementos
 - Desordenado
 - Ordenado
 - Ordenado decrescente
 - Repetidos
Caso 10.000 elementos
 - Desordenado
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
1888439;4247782;3347030;706353;48569966;2123891;3923584;

 - Ordenado
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
726880;3232926;665905;626059;112896;270467;1779167;
681601;3648286;656245;626059;111689;200435;1761658;
826494;3228096;672546;625455;123159;191380;1759847;
888677;3679077;904978;630285;87540;332046;1860064;
791479;4521871;722051;630285;111688;549386;1763469;
836758;3958600;691864;630285;96596;434679;1864291;
928523;3228700;685223;885055;88143;495052;1824445;
983462;3493131;648396;751633;89954;332046;1756829;
1042626;3333144;647792;777593;89350;196209;1759243;
1013648;3746089;648397;790874;92369;190776;1758639;
808986;3718922;647793;5818060;148515;191983;1761054;
911015;3371782;792686;599495;87540;190776;1756224;
798119;3223871;651416;604928;88143;191379;1966923;
936975;3220852;650811;627266;88143;190173;1758036;
783630;3246812;650811;623644;88143;191380;1972357;
757066;3625345;650812;629077;87539;192587;2111816;
759482;3435173;647792;623040;88144;190172;1753810;
730503;3230512;648397;600099;88144;190172;1755621;
758877;3243190;647793;604324;88143;190776;1758640;
786649;3237756;647792;633907;88143;191984;1760451;
1212271;3238963;648396;627266;88143;190776;2125702;
895318;3333748;648397;1014251;88144;190172;1758036;
764311;3228701;648397;633303;88144;190776;1756828;
778801;3256472;649000;594665;88143;191379;1840142;
844606;3236548;648397;606136;87539;192587;1924059;
798119;3890379;650208;632096;88143;191380;1758036;
1086095;3228701;656848;957502;88144;190172;1755621;
463658;3223870;662282;622437;87540;190172;1755621;
756462;3223871;648397;623644;87540;191984;1891458;
706958;3252849;649604;604928;88143;190172;1761658;
753444;3646476;648397;630888;88143;190172;1759847;
751633;3225078;648397;630888;88143;190172;1758639;
775178;3218438;648397;707561;88143;190172;1785203;
818646;3217833;773366;626663;88143;191984;1787014;
756463;3228700;650208;618814;87539;190776;1758036;
950257;3489508;648396;589232;87539;190776;1756225;
767933;3223267;648397;598287;88143;191983;1757432;
709976;3222060;648396;621229;87540;192587;1859461;
727484;3215418;648396;624248;88143;190776;1758639;
868151;3373594;649000;623644;87539;190172;1759243;
1008215;3282432;648397;629078;88143;190776;1756828;
644170;3217834;648397;607343;88143;191380;1759243;
799327;3215418;649000;598288;88143;193190;2314667;
2553740;3217834;648396;824079;87539;190172;1759243;
670734;3376612;647793;662282;88143;190172;1755017;
851851;3246812;648397;623040;88144;190172;1826860;
749218;3222060;648396;640548;87540;191983;1760451;
757670;3228097;647792;603118;88144;191380;1761055;
760085;3221456;648396;612173;88143;191379;1756828;
725673;3278205;679186;627266;87539;190173;1758036;

 - Ordenado decrescente
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
1139825;4198276;3471396;725069;49291413;2156491;4215181;
1037193;4272534;3584292;1046249;48713652;2139587;4066666;
1102394;4312984;3371179;1037193;48527101;2127513;3966447;
1031760;4188013;3349445;953879;49121766;2131739;4025613;
1099376;4171712;3581274;956295;51534236;2121476;4017764;
1547941;4220614;3417665;1000366;49525053;2277840;3942903;
1835312;4264686;3759372;1016667;48583851;2192715;3942299;
1621595;4314795;3541428;970784;48675014;2128117;4024404;
1771318;4209747;4709024;1005195;48444996;2122080;4122207;
2018239;4520060;4940853;1046852;47953567;2123288;3971277;
1805127;4190428;5077898;957502;48491483;2125099;3941091;
1490587;4171109;4345584;971388;48414205;2124494;4041912;
1494814;4182580;3731600;1083680;48588077;2122684;4172316;
1759847;4428898;3676057;1052890;48633960;2206600;3949544;
1778563;4185599;3864419;966558;48013335;2187282;3936262;
1631859;4174128;4539982;952068;48124419;2119664;4414409;
1489380;4267101;5021752;958709;48702181;2123288;3974899;
1535262;4643822;4940854;1186312;48675617;2119665;3953166;
1772525;4186202;4392675;1031156;48941858;2121476;4037686;
1780977;4187409;4893763;1010025;48696747;2123891;4199484;
1625217;4463310;4956550;962935;48632149;2199960;4015952;
1790636;4207332;4335925;961124;48743234;2378661;3961618;
1498436;4180769;3999048;1016666;48426281;2218072;3948336;
1773732;4180165;4077532;967765;48481219;2129928;4226048;
1612539;4278571;3968259;992518;48548836;2315875;3935054;
1788222;4203710;4933005;998554;49579387;2120269;3941091;
1560015;4172317;4946891;1144051;49075885;2125099;8715318;
1718794;4224237;4863577;1111450;48598944;2324930;3944109;
2476464;4268912;5036845;950257;48201696;2406432;4018971;
1813579;4231482;4917308;963539;49005249;2126910;3925998;
1777958;4173524;4855125;1008818;48014542;2129325;4049157;
1958471;4273138;5048919;1155523;48341759;2128117;3979125;
2236786;4239330;4072099;1007007;48458881;2123287;3922980;
1552771;4175939;3720733;946635;48035069;2164943;3912112;
1611332;4167487;3672435;950861;48178151;2120268;4136093;
1780373;4870218;3880115;1120506;54389837;2806699;4024404;
1666874;5767952;4180165;1065568;48737801;2929254;3923583;
1875158;4263478;3962222;987084;48736593;2852582;3972485;
1507492;4299098;3987577;956294;48400924;2934689;3979730;
1789430;4248989;4066665;966557;48845263;2947366;3956184;
1639706;4300909;4369130;1115677;48537365;3155046;3915132;
1616162;4267100;4044328;1080057;48255427;2335193;3985163;
1528622;4609411;3988785;1045042;48791532;2132946;3918754;
1475495;4579224;4045535;1193556;48196867;2239805;4000860;
1788825;4192239;4398108;1129562;49167650;2121476;3933846;
1726038;4335321;4873840;1122318;63329739;2415489;4072702;
1666270;4181976;4790527;933353;51977368;2314666;3982144;
2023673;4257441;3880115;946635;48449222;2147435;4064854;
1022100;4390260;4059420;1000366;48314592;2393754;3932036;
1017270;4275553;3895208;1220724;48635168;2130532;4060628;

 - Repetidos
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
822268;344121;1654800;218547;137045;298842;1710946;
190172;295823;1622198;189568;88143;42260;2151058;
160590;283749;1108432;188965;87539;20526;2189696;
202850;270467;1264796;239074;117122;19319;1954849;
213114;247526;953275;250544;135838;22338;1870328;
153949;240885;952069;190776;101426;24149;1895684;
150327;258392;1195368;190776;87539;19923;1851612;
184134;189569;1161559;263222;88143;20526;1854631;
245111;161798;1124732;224584;88143;19319;1865498;
189569;254771;1148881;205869;88143;24149;1837727;
257789;354988;1205027;191984;135837;19923;2081026;
319368;164212;1105413;189569;136441;27772;1861876;
217944;247526;1212272;242696;88143;30186;2401602;
254166;184739;2073178;243904;87539;29582;2468616;
201039;163608;1090321;192587;100217;29583;1874554;
219151;260807;1208046;202850;134630;28375;1854028;
178701;298238;1136807;277712;117726;19923;2000731;
198021;193795;1107828;190776;88747;18715;1858254;
208284;161798;1258758;191983;110481;21130;3215418;
208283;163005;1107828;193190;114103;25960;3315032;
210699;237866;1109036;191983;112896;19319;1860668;
200435;200435;1262380;194398;116518;21130;1699475;
210095;161193;1147674;204661;124367;31393;1691627;
212510;251752;1067379;286164;118933;25960;1692230;
242092;187757;1226158;235451;143685;24752;1691023;
239073;313935;1832897;282542;151534;30187;2478275;
225792;219150;2261539;331443;106858;24752;1762261;
216132;221566;2136569;244507;111688;20526;2383491;
208887;162401;2184866;244507;143082;23545;1696456;
208284;266241;2142606;282542;156968;19923;1689815;
207076;225791;2195734;279523;112292;19923;1691023;
257789;191380;2163133;277712;122556;28979;1809956;
208887;162401;1691627;284352;129196;18112;1725435;
181117;270467;1259362;248733;159382;19923;1643932;
193191;315143;1337243;246318;151534;18715;2487934;
169646;258393;1488172;285560;115311;20526;1970546;
179305;169042;1103603;265638;176286;28375;1805126;
170853;159986;1203820;283145;118933;19319;1990469;
178701;252356;1155523;272882;155760;19319;1854631;
197416;180513;1105414;242695;110481;19923;1995902;
211906;161797;1260570;303068;114707;21130;1849802;
170249;162401;1256343;274090;121952;27168;1858857;
182324;366459;950861;321180;118329;22338;2682333;
173268;162401;1676533;246922;213717;19922;2337004;
203454;201039;2176414;243903;110481;21130;1980809;
206473;234244;2177622;276504;149723;30186;1838934;
182324;163005;2070160;280127;127385;29582;1853423;
185947;161194;2274218;275296;134027;29582;1837727;
220962;287975;2085253;281938;119536;25356;2067745;
178701;207076;2106987;243903;100218;25356;2018843;

Caso 100.000 elementos
 - Desordenado
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
24206198;54150160;40440862;5837379;4685402145;33327216;48894768;
35138983;54837195;40287516;5306708;4783588929;27636540;48562721;
33320575;54106692;40204202;5256600;4896513752;26887926;48731764;
14745888;54759315;40198165;5641774;4720495245;31097070;48689502;
13839099;54327050;40156509;5126800;4756178180;27390826;48564532;
12215693;54852288;40155301;5304293;4726717798;26801594;48358060;
12789831;54199665;40080440;5076691;4738287509;26642212;48521064;
12350323;54193024;40114248;5129818;4710521772;27453009;48672599;
12678143;54298072;40125115;5396663;4804042396;26776841;57362560;
13912149;54379574;40108815;5089369;4874677764;26909056;52882950;
16921095;54479792;40341247;5087558;4753592443;26755711;48899597;
14549075;54232869;43386417;5603135;4706184640;26667568;48705200;
13502222;54356633;50120321;5107481;4743767485;26840233;53497537;
12978796;54474358;47759772;5098425;4728925002;27477762;50807356;
12647957;54846854;48103893;5493862;4796169872;31478622;48565137;
12734289;54930772;50422786;5084540;4710375068;27087758;49004645;
12700480;54456850;46377251;5197435;4640108573;26618063;49053547;
12536872;55524833;51637473;5222187;4730325031;26891549;48454052;
12644938;73260951;50235029;5105066;4867820699;26944072;48579022;
12714366;67254530;50203031;5153364;4740376384;26683869;53732385;
12376282;57466400;44433872;5378551;4727852794;27724684;49444758;
12328589;54648833;41759388;5095406;4815865066;26700170;48458881;
13055469;54369311;40634052;5489032;4745908280;27870180;48537968;
14599787;55615391;40210240;5417793;4721822827;26596329;48472163;
12779568;55434275;40135379;5100839;4643972388;26967618;48473370;
12416129;53667183;40347888;5176304;4694924034;26890341;48921331;
12858656;54051150;40149264;5169060;4689417494;26923546;48632149;
13120067;54161027;40024898;5119555;4862087161;27127000;48551250;
12708329;54611403;40692009;5168456;4690963020;26583047;52885365;
13049432;54636760;40506063;5330253;5452953223;26904227;50627448;
12693840;54514204;40516930;5184153;5462210682;26771408;48795758;
12061744;53970855;40375659;5114725;5023613947;26650060;48953328;
12822432;53835621;40335210;5181738;4776809141;26965807;49135652;
12257350;54441153;40282686;5272900;4815776319;26723111;48722104;
12536268;54092806;40317098;5269278;4686011903;26604177;48603171;
12082270;53764382;40319513;5671960;5465136918;26673605;48772212;
12608111;54422438;40091307;5144307;4740964408;27181335;48554269;
12389564;54185780;40052669;5215547;4797501078;26816687;48649657;
12349719;54066846;40170394;5479373;4803409696;27000822;48707614;
12385338;54040283;40175828;5284371;4823420636;26488263;50063572;
12792850;53710651;40344265;5187172;5267543834;30078592;49264245;
12561625;53664768;40510893;5586835;4886328977;26944677;48586870;
12714366;53743856;40148057;5147326;4742476126;26856533;49237682;
12476500;53628545;40456558;5181134;4753062979;26796764;48414810;
12442088;54084958;41673660;5791496;4673552307;32500722;48478804;
13157498;53924369;45776548;5144911;4734551080;31535372;48512009;
12908764;53875467;40902708;5337498;4926629776;28425000;48566343;
12199996;67413913;40352114;5139478;4788192905;26890341;48819906;
12378093;66503501;40124512;5143704;4786501280;27320794;54513600;
14200727;85387897;40196354;5433490;4755861226;33659263;48876053;

 - Ordenado
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
2446882;38023562;8435795;1947605;878414;160589;20900220;
947842;37820108;7754797;2070160;877207;157572;20887542;
849435;37757925;7864071;1942171;877811;157571;20889958;
933353;39343296;7821810;1939152;877207;157571;21169480;
1017270;37655896;9320850;1940360;877810;157571;20945500;
989499;37768792;7823622;1931908;877207;157571;23118292;
942408;37840635;7872523;1934323;960520;157571;20955763;
1017270;37750680;7768683;1936134;877811;157571;20950933;
920674;37947493;7840526;2064122;877811;158175;20870034;
918863;38030203;7788002;1943981;877207;157571;20941878;
903167;37795356;7752986;1942171;877810;158175;20826566;
1037796;37687893;8027075;1943379;878415;158175;21323429;
944219;37945078;7879768;1943378;877206;159382;21089789;
1105413;37744039;7983608;1931304;877207;157571;20821133;
985876;44702529;7788606;1993487;886866;157572;21217778;
973198;38889298;7882183;1942171;877810;157571;20878487;
1049871;37930589;7753590;1947604;877811;158175;20843471;
889885;38841000;7816981;1939152;877206;158175;20909276;
877207;37884706;7753590;1934322;877811;157571;20835622;
959312;37916703;8158083;1932512;998555;157571;20821737;
865132;37944474;7754194;1935530;878415;157571;20898409;
1031156;37804412;7844751;2298970;877207;156968;21300488;
1084887;37917307;7755401;1943378;877206;158778;21154387;
994328;37718683;7852600;1942775;877207;158175;20828981;
944823;37960775;7795247;1947000;877207;156968;20937651;
982254;37833389;7825433;1936134;877207;157571;25443826;
950861;37936626;7828451;1944585;877811;156967;28093557;
985876;38044089;7756005;1939756;877207;158175;20894183;
996744;37707212;7981797;2022465;877207;158175;21223815;
1094546;39935547;7812151;1948812;877811;158175;20964818;
1083679;37931193;7879767;1934926;877811;157572;20987157;
941805;41264940;7754797;1925870;877207;157571;21109108;
863321;38219772;7832678;1950623;925505;157572;20976893;
846417;37803204;7791021;1939153;877810;156968;20824152;
910411;37724117;7913576;1944585;877206;158175;20991383;
898337;37713250;7753590;1974168;877811;158175;20841660;
842794;37729550;7964289;1944585;877810;156968;20890561;
821061;37858142;7987834;1962093;877811;157571;21034851;
819853;37750680;7873126;1950019;886262;157571;20870639;
845210;39020909;7826640;1946397;877811;156968;20929199;
941805;46529992;7951610;1948208;877206;157571;20998627;
1020288;38370098;7792229;1937945;877207;158175;21011909;
959313;38883261;7835696;1939152;877206;157571;21200874;
850039;37977680;7753590;1945190;934561;198624;20871242;
790271;38354401;7912972;1933115;878414;169042;20832604;
884451;37803204;7752986;1943379;877207;199832;20889957;
823476;38213130;7865279;1944586;877206;191379;20863998;
961124;37724117;8016209;2062311;877810;193191;20905050;
927920;38226412;7769891;1936737;877206;201642;20951536;
766726;37934815;8024661;1936737;877207;200436;21142313;

 - Ordenado decrescente
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
13277638;53970251;42212179;5159400;4865779518;52546677;48611019;
12623808;55156563;42293682;5207094;4777008973;31266112;48735386;
12384131;53879089;40761437;5142496;4815016837;37726531;50464442;
12284517;53835621;41443642;5149137;5105686811;31208154;54047528;
12542909;54181553;40315288;5136459;4876029496;34420554;48726934;
12769908;53779475;41437604;5163626;4743370840;31711055;48633960;
12344286;53686502;40512101;5259014;4898366572;33013281;48696143;
12449333;53705822;40257934;5146723;4743896681;34109035;48855526;
12276065;55306890;40240425;5150345;4658627718;31979106;48851300;
13576480;60674574;40274234;5258411;5103530923;33722049;48589285;
12847185;53766194;40325551;5147326;4739470802;35047217;48530121;
12594830;54150764;40385319;5143100;4779306131;31189439;48711840;
12785605;53842262;40146245;5218565;4796472337;34046247;48515631;
12263991;53851318;41975521;5211925;4751235515;26579424;48668976;
14335961;53720311;41319275;5135252;4760979573;26595725;48933406;
18285505;53749893;40148660;5320594;4747188169;26539580;48721500;
22803150;53606811;40430598;7584548;4759717797;26521468;48747459;
20734197;53703407;40201184;5256600;4660188337;27605751;48470955;
21218985;53743856;40221710;5149137;4996843746;26608404;48387642;
20578437;60348564;40313476;5142497;4991521341;26435740;48422055;
21308940;53942480;40062328;5222791;4767565567;26542598;48443185;
20018184;53537383;41275204;5173889;4778837040;26558295;48937028;
20569382;53457088;40142019;5132233;4749184674;26568558;48979893;
20318837;53614660;40285102;5277730;4765978384;26452644;55666104;
20301933;53685898;40340040;5146722;4779253608;26492489;49422420;
21219590;53630356;40008597;5144307;6266927434;26872229;48959366;
20742046;53483048;40433013;5381570;5148932561;26544409;48601963;
21349389;60808599;40103382;5148534;4794946130;26520260;48621282;
22105852;54508771;40241633;5255392;5148732729;26562521;49097618;
19151240;53679257;40385319;5143100;5278373382;26575199;48475786;
12806132;53707029;40113645;5268674;4720810990;26522071;48749875;
13195532;53783701;40101570;5437715;4800651898;26601159;48545817;
16954299;53636393;40202995;5150345;4761304979;26669983;48999211;
15570571;53586285;40300194;5145515;4742448355;29264777;48697954;
14664989;53794568;40375659;5187172;4788399378;30635827;54965787;
12451747;53840451;40399205;5141892;4739528760;26482226;59782878;
12318325;53720310;40170998;5141892;4806277371;26583651;64359687;
12809150;55398052;40483122;5210716;4803405470;26613837;58414242;
12233804;53475200;44100015;5152155;4703246329;26836006;64801008;
12391979;53621904;40679935;5137063;4738340636;28951445;57381879;
12185507;53623112;40891841;5460657;5057998278;26622289;56600664;
12294781;53792153;40248878;5141892;4785710405;27106474;50481950;
12209051;53452258;40284497;5290408;4754082060;26709828;51734672;
12158340;53630959;40057498;5146722;4730268885;26688699;50884633;
12707122;53882712;40099155;5143704;4849173566;27941420;48521669;
12118494;60907006;40122700;5234262;4773879282;27986699;48513216;
12460200;56979801;40059913;5143704;4702241134;26527505;52267758;
12390168;53581455;40372640;5251770;4752579398;26571576;55383562;
12491594;54285394;40100967;5295841;4747865544;26440569;55623843;
12072007;53615263;40359359;5155778;4779837405;26494301;65701156;

 - Repetidos
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
2070160;1712153;11272076;1916211;878414;187757;17846599;
853058;1619179;11477946;1929492;877810;141875;17803735;
865736;1608917;11212308;1931907;877207;141874;18379685;
1025118;1616161;11297433;1925266;877207;141875;17817621;
826494;1611331;11316148;1960282;877207;142479;17916027;
822268;1627029;11278718;1922248;877207;143082;17850222;
818646;1620991;11192385;1932511;877207;141875;20567570;
790874;1617972;11702530;1927077;877207;142478;22411938;
850643;1674118;11320374;1924663;1109639;141875;18746748;
813212;1619783;11357201;1917418;877207;141875;18147856;
890489;1614350;11193592;1917418;877811;141874;18781763;
857284;1620991;11308300;2003146;877207;141875;17978210;
885056;1616162;11297433;1921644;877207;141875;18085069;
778801;1618576;11340901;1926474;878414;142478;18005378;
946635;1624614;11214723;1930700;879621;141875;18027716;
869359;1622199;11297433;1919833;877810;142478;17836940;
3122446;1631859;12734893;1950019;877810;141874;17952250;
1217102;1623406;13684546;1947604;877206;141875;17887049;
2155888;1616162;14354072;1944586;877206;141875;17823055;
1194764;1624010;12378094;1948208;877207;142478;17827884;
1157333;1614350;11310715;2064122;970180;142478;17921461;
1132581;1613143;12163169;1954849;878414;143082;17822450;
1161560;1620387;11412743;1950020;877810;141875;17824262;
2167963;1619783;11392217;2349682;877207;143082;18031338;
1168200;1723020;11193593;2373831;877207;141874;17890671;
1153711;1608313;11314337;2056878;877810;142478;18115255;
1133788;1615557;11348145;1956660;877207;142478;18008397;
1177860;1625821;11601104;1954849;877810;141874;18196757;
1052889;1617368;11214119;1954849;877810;141875;17902142;
968369;1617369;11319770;1972960;877207;143686;17887653;
956294;1622199;11295018;1948812;877207;141875;17947421;
924297;1716982;11317959;1960282;877206;141875;17865315;
910411;1625217;11247928;1958471;877207;141875;17820036;
1060738;1616161;11315545;1951227;1098169;142478;17779586;
1268418;1617973;11384973;1948811;878414;143082;18309050;
915845;1723020;11276906;1953038;877811;142478;17975192;
884451;1615558;11192989;2054463;877207;141874;17861692;
795101;1615558;11282340;1959679;877811;141875;17842977;
844606;1617972;11389198;1954245;877207;142478;17814602;
846417;1708530;11398858;1956661;877206;142479;17792868;
823476;1610728;11298640;1957867;877810;141875;17975192;
854869;1622199;11771958;1942171;877811;142478;19546678;
830116;1620387;11401876;1945190;877207;142478;17842977;
836154;1613143;12008013;2041785;877207;143082;17812187;
813212;1630650;11204460;1985639;877207;141874;17993908;
903167;1616765;11397046;1951226;877206;141874;17894897;
950257;1619784;11315545;1953642;877811;141874;17904557;
856680;1625821;11313129;1962093;877811;143082;17888256;
819853;1614954;11212308;1943982;877207;141874;17854447;
842794;1616162;11660269;1946397;877206;142478;17847203;

Caso 1.000 elementos
 - Desordenado
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
278920;7044821;2311648;8852966;13528786;1943378;90948772;
248733;1482136;68629203;2792210;25619508;1397614;586213;
249336;4263478;362233;1667478;8927828;1443497;3313825;
245111;1368635;351365;1587786;955087;1436252;537916;
246922;1369843;347140;1647555;1028137;1723623;542142;
249337;1340261;331443;1628840;1001573;4067269;567498;
246922;1043230;318764;1637895;2349683;345932;611569;
245715;608551;322387;1669893;4743437;345329;540934;
246318;645378;309106;1589598;826494;271071;528256;
246319;575950;316350;1955452;2180037;264430;517993;
249337;1019081;303672;2400999;1742943;265033;514974;
261412;941805;313331;9025027;954483;260203;498070;
251752;1481532;358610;3106145;971991;256581;519200;
246318;984669;303672;3449059;954483;254166;536105;
248130;591647;309709;6997731;1044437;259600;505919;
251752;657452;301257;1596842;962331;258392;513163;
248130;656849;301860;968973;1034778;253563;507126;
247526;754048;298238;885055;984669;252959;514370;
246922;858492;295824;1189934;1246081;255374;3013776;
247525;874188;292805;967765;1109035;252356;557838;
249940;668319;294616;946031;868151;254167;527049;
251752;637529;298239;983462;845813;251148;501692;
246922;552405;291598;1261777;876603;250544;485996;
248734;555424;294012;2682936;851246;254167;496259;
253563;558442;293409;6039625;947239;251752;484184;
248733;612173;2684747;926712;984065;252959;480562;
249337;601306;389400;1293170;973199;248733;861510;
248733;648397;356196;946634;967765;247525;537916;
248130;551802;330235;973802;979235;251751;521012;
347743;674356;331443;1011232;976217;250544;530671;
359817;549990;322991;997347;1003384;251148;522823;
409322;633303;322387;6075849;956294;247526;516181;
1035382;589835;308501;5030204;1107225;249337;514371;
477544;841587;311520;1011836;1046852;246921;531274;
288579;871773;2230749;965350;2794022;249336;498673;
275297;1594428;328425;1018477;857284;253563;502296;
317557;948446;327217;958709;872981;253563;471507;
266241;623041;321783;1012440;867547;254771;503503;
260203;636926;300049;1315508;962936;457017;510144;
256581;855473;307294;3093467;862114;373703;520408;
257185;800534;295220;943012;7797058;386381;521012;
258996;877810;545764;931542;1102998;344121;487807;
252959;595873;498069;1040815;881432;252356;490825;
252356;656849;287371;981047;3444229;260204;489014;
255978;553008;266241;1090924;918260;250545;494448;
251752;553008;269260;1063153;920675;252959;66030184;
260204;554216;269259;767933;918260;248733;525237;
249940;553613;257185;648397;910411;248733;3616289;
253563;552405;266845;723258;909808;249941;528860;
248733;548179;257789;626059;900752;246922;498674;

 - Ordenado
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
35620;799931;60372;36115804;12075;6986864;424416;
42260;809590;51317;606740;9659;39845;310917;
33205;740162;51920;498674;10867;36827;309709;
33808;740766;51317;511955;13281;38034;307898;
33809;974406;51316;516181;14489;36224;305482;
33205;928523;51317;11729697;13885;36827;313332;
33205;778800;50712;804156;10263;38035;316349;
186550;768537;50712;1026930;11471;36223;319368;
36223;772763;50712;626058;12678;50712;322387;
33205;772763;50713;506522;12678;36223;322991;
33809;785441;50713;516785;12678;36827;326613;
35015;796912;51316;515578;18112;38639;348347;
33808;794497;52524;828306;13282;36223;498673;
33809;844606;53731;499881;12679;36827;355592;
33205;777592;51316;911619;12075;36224;318765;
162401;780008;51316;499881;18716;36223;528860;
35016;573535;51920;493844;12678;43468;260808;
33809;507730;51317;494448;13282;39242;154552;
33205;521011;51317;504107;13282;37431;151534;
33204;492033;51316;511956;13282;36223;152138;
33204;499277;51316;515578;10264;36827;152138;
33205;511352;51317;507126;12075;36223;151534;
33205;503503;51317;513767;11470;35015;151534;
140667;493241;51920;496862;12074;36827;152741;
34412;483581;51920;500485;13282;41657;151534;
32601;508937;51920;501089;13885;36223;151534;
34412;505315;51316;507730;12678;36827;151534;
35016;524030;51317;505918;12678;37431;152742;
33205;496258;53731;503504;11470;36827;152138;
31394;449772;52523;501088;12678;36223;155156;
30790;472714;51920;501088;13282;37431;155760;
123763;2091290;51920;501693;10867;36827;152741;
35620;470299;51920;496259;11470;40449;154552;
34412;478147;51920;493844;10867;35620;155156;
34412;477543;51920;492636;12074;37430;157572;
33205;488411;51920;533690;10867;30186;154553;
32601;470903;51920;539727;13885;26564;155760;
33204;460035;51920;507730;13282;1788825;156364;
33809;467884;51316;881433;14489;39845;159382;
33205;458828;51316;5785460;13282;33809;153345;
198624;450980;51316;519200;12678;33808;153949;
36223;457621;51920;504710;12679;27532701;153949;
34412;464262;53128;505918;11471;39242;154552;
35619;505315;51316;503503;12075;33204;153346;
34412;475129;51316;505918;10263;33204;153345;
32601;482977;51316;505315;10867;33204;152138;
34412;478750;51316;514974;11471;33808;152138;
